Account_ID,Account_Name,Account_Name_English,Account_Code,Account_Group,Account_Group_Code,Account_Status,Customer_Class,Sales_Area,Phone,Phone_1,Office_Phone,Factory_Phone,Website,Facebook,Billing_City,Billing_Province,Billing_Country,Shipping_City,Shipping_Province,Shipping_Country,Thai_Tax_ID,Register_Capital,Created_Time,Modified_Time,Last_Activity_Time,Owner,Tags,Industry,Org_Type,TSIC_ID,Billing_Street,Vol_FIBC_Per_Years,FIBC_Sling_Usage_Year
3015191000014247400,โพลีเพล็กซ์ (ประเทศไทย),,0257AA,0257โพลีเพล็กซ์ (ประเทศไทย)จำกัด,0257,Active,,QEast,0-2665-2706,,038627074,038627074,https://www.polyplexthailand.com/,,,ระยอง,,,ระยอง,,0107547000729,,20200925T16:25:53+07:00,20240722T17:03:46+07:00,20251215T09:44:59+07:00,สุนิสา กล้าแข็ง,รอ Verify,2.3.2 Plastic Compound Resin,บริษัทมหาชนจำกัด,20300,"60/24, 60/91 Siam Eastern Industrial Park Moo 3, Tambol Mabyangporn, Amphur Pluakdaeng, Rayong 21140",,
3015191000014060000,ยูนิตี้ เฟอร์ติไลเซอร์,,,,,New Accounts,,QWest,,,034966721,,,,อ.กำแพงแสน นครปฐม,นครปฐม,,,,,0125556000556,,20200922T18:36:08+07:00,20250324T11:16:31+07:00,20251215T09:45:01+07:00,ชินดนัย ศรีธรรม,"PPW 510k, ก้อง, ไม่เปิดรับ",2.1.1 ปุ๋ยเคมี,บริษัทจำกัด,21001,99/9 ม.4 ถ.จันทรุเบกษา ต.ทุ่งลูกนก,,
3015191000060134000,เซตต้า ฟาร์มา,,,,,New Accounts,,QWest,,,,,,,73000,นครปฐม,,,,,0737354802411,5000000,20240322T12:01:11+07:00,20240722T17:02:37+07:00,20251215T09:44:55+07:00,ชินดนัย ศรีธรรม,,1.1.1.1 โรงงานอาหารสัตว์ Feedmill Company,บริษัทจำกัด,21002,19/1 หมู่ที่ 1 ตำบลหนองงูเหลือม อำเภอเมืองนครปฐม,,
3015191000067644000,สีมา คอนเทนเน่อร์แบ็ก,,,,,,,SMI,022952121,,,,,,,นครราชสีมา,,,,,0105543075293,270000000,20240827T10:44:05+07:00,20250426T09:46:27+07:00,20251215T09:44:55+07:00,วิไลวรรณ ทองอยู่,,,บริษัทจำกัด,22220,สาขาที่ 00001 ที่อยู่ 152 หมู่ 3 ถนนราชสีมาปักธงชัย ตำบลหนองจะบก อำเภอเมืองนครราชสีมา จังหวัดนครราชสีมา 30000,,
3015191000027643000,ไทยอินเตอร์ โพลีเทรด,,,,,NonActive,,SMI,,,,,,,,,,,,,0735547000764,5000000,20211022T10:50:31+07:00,20230107T14:53:17+07:00,20251215T09:44:58+07:00,ศิริษา ศรีสุข,Fabric,,บริษัทจำกัด,22220,,,
3015191000071177000,คิวแพ็ค โปรเกรซ,,,,,,,QCentral,02-9833695-6,,029833695,,,,,นนทบุรี,,,,,0125550000490,16000000,20241111T09:24:51+07:00,20250625T10:35:38+07:00,20251208T10:55:44+07:00,วีรวรรณ รอบแคว้น,,2.3.2 Plastic Compound Resin,บริษัทจำกัด,22299,54/12 หมู่ที่ 5 ต.ละหาร อ.บางบัวทอง จ.นนทบุรี,,
3015191000014208000,888 ไลอ้อน,,,,,New Accounts,,QCentral,,,0999256324,,,,ลำลูกกา,ปทุมธานี,,,,,0135554011232,,20200925T08:57:23+07:00,20240722T17:01:17+07:00,20251215T16:25:27+07:00,วีรวรรณ รอบแคว้น,PPW 10k20k,2.3.2 Plastic Compound Resin,บริษัทจำกัด,22299,16/5 ม.17 ต.ลำลูกกา,,
3015191000013464000,เถ้าแก่ลิ้ม แพ็คเกจจิ้ง,,0048AA,,,NonActive,,QCentral,,,0818508199,,,,,กรุงเทพมหานคร,,,,,0103543016287,,20200902T13:59:30+07:00,20250909T15:39:32+07:00,20251201T10:30:06+07:00,วีรวรรณ รอบแคว้น,,2.6 ยางในรถยนต์,ห้างหุ้นส่วนจำกัด,22299,เลขที่ 19/2 ซ.บางกระดี่ 32 ถ.บางกระดี่ แขวงแสมดำ กทม,,
3015191000007518700,พีไอ อินดัสตรี,,0297AA,0297พีไอ อินดัสตรี,0297,Active,,QEast,02-3755197,,,,,,,ระยอง,,,ระยอง,,0105534100230,,20190906T15:35:50+07:00,20240722T17:04:02+07:00,20251215T09:44:55+07:00,สุนิสา กล้าแข็ง,รอ Verify,2.3.2 Plastic Compound Resin,บริษัทจำกัด,22299,,,
3015191000023036400,พี.เอ็น.ที.สยาม พลาสติก,,,,,New Accounts,,QWest,,,034849698,,,,,สมุทรสาคร,,,,,0745545002875,,20210705T09:08:33+07:00,20250711T11:13:58+07:00,20251126T11:01:31+07:00,ชินดนัย ศรีธรรม,"ก้อง, ไม่มีการใช้งาน PPW",2.7 Non Food อื่นๆ,บริษัทจำกัด,22299,68 หมู่ที่ 4 ต.คลองมะเดื่อ อ.กระทุ่มแบน,,
